Company Name,Industry,ticker,Series,ISIN Code,security_id
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,13061
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,474
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,13
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,22
ACME Solar Holdings Ltd.,Power,ACMESOLAR,EQ,INE622W01025,27061
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,13086
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,25780
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,21238
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,8110
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,23729
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,7
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,5385
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,17903
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,13587
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,10217
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,25
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,3563
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,15083
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,17388
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,6066
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,21614
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,30108
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,625
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,6018
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,40
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,25977
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,11343
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,8124
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,24715
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,25328
Alivus Life Sciences Ltd.,Healthcare,ALIVUS,EQ,INE03Q201024,5265
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,11703
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,4487
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,17675
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,100
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,1185
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,1270
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,7145
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,13620
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,324
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,11491
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,157
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,163
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,5435
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,5378
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,212
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,236
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,1508
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,5610
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,14418
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,263
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,275
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,23553
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,19913
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,5900
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,368
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,395
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,17279
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,19585
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,16669
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,317
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,16675
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,305
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,25270
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,335
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,341
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,2263
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,4668
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,4745
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,11377
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,371
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,17927
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,404
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,2144
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,383
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,422
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,438
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,526
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,10604
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,23489
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,11966
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,11373
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,6994
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,495
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,8311
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,380
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,2181
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,24814
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,15184
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,547
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,7227
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,11452
CESC Ltd.,Power,CESC,EQ,INE486A01021,628
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,760
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,757
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,9362
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,583
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,10794
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,3906
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,20329
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,595
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,1250
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,15254
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,14894
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,21174
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,13305
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,15039
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,8546
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,637
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016,2049
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,21740
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,685
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,694
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,5701
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,5049
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,20374
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,21508
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017,11543
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018,3948515a-4fed-4e0c-ab85-4b9c9bb17bb6
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,15141
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012,342
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,18060
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,4749
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,739
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,2854
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,4421
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,17094
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,1901
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,5748
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,811
DLF Ltd.,Realty,DLF,EQ,INE271C01023,14732
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,20551
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,772
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,8075
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,7358
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,827
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,19943
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,9599
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,5373
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,10940
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,21690
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,11654
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,881
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,916
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,919
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,910
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,13643
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,937
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,13517
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,24398
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,18822
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,4907
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,21154
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,958
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,5097
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,676
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,6545
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,1023
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,1008
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,1038
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,1041
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,14304
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,12032
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,14592
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,4717
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026,16783
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039,13528
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,5475
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,277
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,1576
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,1186
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,1153
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,7406
Global Health Ltd.,Healthcare,MEDANTA,EQ,INE474Q01031,11956
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,23799
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039,13409
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,1181
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,144
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,10099
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035,10925
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,17875
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,11872
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,592
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,1232
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027,20534
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,13776
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011,13750
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,10599
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031,5204
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,1174
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,19731
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,13197
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01024,1336
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,13966
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,7229
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,4244
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,1333
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,467
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,21951
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,48
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,9819
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,1348
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,14334
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,1363
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,2303
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,17939
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,1406
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,1394
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,1424
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,18457
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,2056
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,19813
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,3417
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,20825
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,25844
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,4963
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,21770
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,18652
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,1476
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,11184
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,1491
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,11809
INOX India Ltd.,Capital Goods,INOXINDIA,EQ,INE616N01034,20607
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,15313
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,4986
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,1660
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,1675
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,23693
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,1515
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,10726
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,14309
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,220
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,1512
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,1624
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,9348
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,13611
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,2029
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,20261
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,11262
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,29135
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,5258
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,13751
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,1594
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,7852
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,5926
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,11195
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,28378
